index,Malicious,Pred
305,1.0,1.0
903,0.0,1.0
1417,1.0,1.0
1972,0.0,1.0
3927,1.0,1.0
1309,1.0,1.0
1189,1.0,1.0
1954,1.0,1.0
527,1.0,1.0
1498,1.0,1.0
1074,1.0,1.0
4023,1.0,1.0
1812,1.0,1.0
2843,1.0,1.0
3339,0.0,1.0
2852,1.0,1.0
2905,1.0,1.0
2066,1.0,0.0
1953,1.0,1.0
3303,0.0,1.0
3532,1.0,1.0
1360,0.0,0.0
810,1.0,1.0
1950,1.0,1.0
96,1.0,1.0
3562,1.0,1.0
3293,1.0,1.0
3347,1.0,1.0
3103,1.0,1.0
2226,1.0,1.0
2921,1.0,1.0
270,0.0,1.0
2464,1.0,1.0
402,0.0,1.0
2536,1.0,1.0
196,1.0,1.0
4054,1.0,1.0
32,0.0,1.0
990,1.0,1.0
2798,0.0,1.0
2498,0.0,1.0
1292,1.0,1.0
594,1.0,1.0
3730,0.0,1.0
2413,1.0,1.0
1289,1.0,1.0
1226,0.0,0.0
3742,1.0,1.0
551,0.0,1.0
3406,1.0,1.0
1411,1.0,1.0
680,1.0,1.0
1497,1.0,1.0
2688,0.0,1.0
2323,0.0,0.0
3614,0.0,1.0
1213,0.0,0.0
1926,0.0,0.0
729,1.0,1.0
3704,0.0,1.0
2147,0.0,1.0
184,1.0,1.0
1616,1.0,1.0
2090,1.0,1.0
2659,1.0,1.0
817,0.0,1.0
501,1.0,1.0
1298,1.0,1.0
471,1.0,1.0
1992,0.0,1.0
1864,0.0,1.0
1760,1.0,1.0
43,1.0,1.0
3876,0.0,1.0
969,1.0,1.0
2422,1.0,1.0
2083,0.0,1.0
414,0.0,1.0
1720,0.0,1.0
1723,0.0,1.0
1621,1.0,1.0
4046,1.0,1.0
511,1.0,1.0
2620,1.0,1.0
1084,1.0,1.0
2288,1.0,1.0
3869,1.0,1.0
3998,0.0,1.0
1220,1.0,1.0
1255,1.0,1.0
2370,0.0,1.0
17,1.0,1.0
2564,0.0,1.0
2244,1.0,1.0
3891,1.0,0.0
2623,1.0,1.0
1351,1.0,1.0
3902,1.0,1.0
976,1.0,1.0
1157,0.0,1.0
315,0.0,1.0
3081,1.0,1.0
461,1.0,0.0
1912,1.0,1.0
3541,1.0,1.0
2765,0.0,1.0
842,1.0,1.0
2749,1.0,1.0
1552,1.0,1.0
3731,0.0,1.0
3629,1.0,1.0
3536,1.0,1.0
3415,1.0,1.0
3909,1.0,1.0
1113,1.0,1.0
1714,1.0,1.0
1361,1.0,1.0
205,0.0,1.0
1736,1.0,1.0
2276,1.0,1.0
2304,1.0,1.0
599,1.0,1.0
2611,1.0,1.0
2430,1.0,1.0
3052,0.0,1.0
1938,0.0,1.0
3071,1.0,1.0
1569,0.0,1.0
3058,1.0,1.0
2643,1.0,1.0
457,0.0,1.0
948,1.0,1.0
1729,1.0,1.0
2411,0.0,1.0
3424,1.0,1.0
93,1.0,1.0
2022,1.0,1.0
3993,0.0,0.0
2382,0.0,1.0
3886,0.0,1.0
2398,1.0,1.0
463,1.0,1.0
23,1.0,1.0
2246,1.0,1.0
1979,0.0,1.0
2042,0.0,1.0
1618,0.0,1.0
1186,0.0,1.0
1429,1.0,1.0
2577,0.0,1.0
1123,1.0,1.0
1163,0.0,0.0
2154,0.0,1.0
3046,0.0,1.0
3605,1.0,1.0
3593,1.0,1.0
2086,1.0,1.0
1237,1.0,1.0
2992,1.0,1.0
3466,1.0,1.0
1221,1.0,1.0
1509,1.0,1.0
1056,0.0,1.0
1791,1.0,1.0
99,1.0,1.0
3389,1.0,1.0
3787,1.0,1.0
2793,0.0,1.0
999,0.0,0.0
1536,0.0,0.0
120,0.0,0.0
2124,0.0,1.0
1406,0.0,1.0
156,1.0,1.0
2707,0.0,1.0
2631,1.0,1.0
2974,1.0,1.0
314,0.0,1.0
3864,0.0,1.0
2196,1.0,1.0
465,1.0,1.0
240,1.0,1.0
2309,1.0,1.0
798,1.0,0.0
1044,1.0,1.0
1421,1.0,1.0
1350,1.0,1.0
2935,0.0,1.0
2474,1.0,1.0
2330,0.0,0.0
2599,1.0,0.0
568,1.0,1.0
3408,0.0,1.0
3455,1.0,1.0
2924,1.0,1.0
3143,1.0,1.0
3206,0.0,1.0
654,0.0,0.0
318,1.0,1.0
177,1.0,1.0
3610,1.0,1.0
1337,1.0,1.0
676,0.0,1.0
51,1.0,1.0
1052,0.0,0.0
3585,0.0,0.0
73,1.0,1.0
1064,0.0,1.0
2186,1.0,1.0
2178,1.0,1.0
2233,1.0,1.0
3292,1.0,1.0
869,1.0,1.0
879,0.0,1.0
2804,0.0,1.0
325,1.0,1.0
3712,0.0,1.0
1885,0.0,0.0
157,0.0,1.0
3468,1.0,1.0
1612,1.0,1.0
2401,0.0,1.0
52,1.0,1.0
1258,0.0,1.0
220,0.0,1.0
1626,0.0,1.0
26,1.0,1.0
3577,0.0,1.0
1474,1.0,1.0
214,0.0,0.0
2510,0.0,1.0
1336,1.0,1.0
1315,0.0,1.0
3724,0.0,0.0
2171,0.0,1.0
321,1.0,1.0
3792,1.0,1.0
3392,0.0,1.0
1402,1.0,1.0
865,0.0,0.0
495,1.0,1.0
3287,1.0,1.0
2955,1.0,1.0
3871,1.0,1.0
2295,1.0,1.0
2513,1.0,1.0
44,1.0,1.0
596,1.0,1.0
2080,1.0,1.0
952,1.0,1.0
1091,1.0,1.0
3531,1.0,1.0
354,1.0,1.0
744,1.0,1.0
3200,1.0,1.0
1288,1.0,1.0
2177,1.0,1.0
2865,1.0,1.0
932,1.0,1.0
3529,1.0,1.0
1487,1.0,1.0
3295,1.0,1.0
3540,1.0,1.0
1001,1.0,1.0
256,0.0,1.0
829,0.0,0.0
544,0.0,0.0
1871,1.0,1.0
605,1.0,1.0
2600,1.0,1.0
751,1.0,1.0
1766,0.0,1.0
910,1.0,1.0
3383,0.0,0.0
2340,1.0,1.0
2509,1.0,1.0
291,1.0,1.0
1468,1.0,1.0
1659,0.0,1.0
134,0.0,1.0
3711,1.0,1.0
2846,1.0,1.0
2752,1.0,1.0
2009,0.0,1.0
263,1.0,1.0
3837,1.0,1.0
1041,0.0,1.0
432,1.0,1.0
1940,1.0,1.0
2390,0.0,1.0
56,1.0,1.0
2230,1.0,1.0
2298,1.0,1.0
3366,1.0,1.0
3378,1.0,1.0
1837,0.0,1.0
1598,0.0,1.0
2212,1.0,1.0
2462,1.0,1.0
576,1.0,1.0
3374,1.0,1.0
1778,0.0,1.0
393,1.0,1.0
2381,1.0,1.0
3691,0.0,1.0
170,0.0,1.0
2894,0.0,1.0
2216,1.0,1.0
2121,1.0,1.0
3516,1.0,1.0
3714,0.0,1.0
1506,1.0,1.0
188,1.0,1.0
12,1.0,1.0
2335,1.0,1.0
322,0.0,0.0
3130,1.0,1.0
598,0.0,1.0
3513,1.0,1.0
3398,1.0,1.0
2812,1.0,1.0
2882,0.0,0.0
2927,1.0,1.0
1666,1.0,1.0
3004,1.0,1.0
2754,1.0,1.0
3274,1.0,1.0
3229,1.0,1.0
4015,1.0,1.0
3498,1.0,1.0
1061,1.0,1.0
3349,0.0,1.0
2225,1.0,1.0
238,1.0,1.0
174,1.0,1.0
2310,1.0,0.0
3387,0.0,0.0
2606,1.0,1.0
862,1.0,1.0
818,1.0,1.0
746,1.0,1.0
3449,1.0,1.0
1844,0.0,0.0
1419,1.0,1.0
2456,0.0,1.0
410,0.0,0.0
1171,0.0,1.0
2618,1.0,1.0
2501,1.0,1.0
1632,0.0,1.0
2830,1.0,1.0
3948,1.0,1.0
4020,1.0,1.0
227,1.0,1.0
1313,1.0,1.0
3176,1.0,1.0
3586,1.0,1.0
351,1.0,1.0
3815,1.0,1.0
1842,1.0,1.0
2118,1.0,1.0
1503,1.0,1.0
1075,1.0,1.0
807,0.0,1.0
1563,1.0,1.0
2350,1.0,1.0
69,1.0,1.0
1572,0.0,1.0
45,1.0,1.0
3290,0.0,1.0
3551,1.0,1.0
183,0.0,1.0
816,1.0,1.0
3279,0.0,1.0
2232,1.0,1.0
1480,1.0,1.0
3105,1.0,1.0
1405,0.0,0.0
1456,1.0,1.0
139,1.0,1.0
3734,1.0,1.0
831,0.0,0.0
309,0.0,0.0
266,1.0,1.0
693,1.0,1.0
2202,0.0,1.0
3259,1.0,1.0
63,1.0,1.0
2610,1.0,1.0
2179,1.0,1.0
2256,1.0,1.0
1891,1.0,1.0
144,0.0,1.0
3514,1.0,1.0
3873,1.0,1.0
1338,0.0,0.0
3557,1.0,1.0
486,1.0,1.0
534,1.0,1.0
2884,1.0,1.0
3198,1.0,1.0
3898,1.0,1.0
3074,1.0,1.0
2274,0.0,1.0
3680,0.0,1.0
1356,1.0,1.0
251,0.0,1.0
3674,1.0,1.0
2342,1.0,1.0
3844,1.0,1.0
1073,0.0,1.0
1330,1.0,1.0
3450,1.0,1.0
1532,1.0,1.0
279,1.0,1.0
3265,1.0,1.0
3194,1.0,1.0
358,1.0,1.0
3722,1.0,1.0
299,1.0,1.0
3607,1.0,1.0
3020,0.0,1.0
2815,1.0,1.0
538,1.0,1.0
415,0.0,1.0
907,1.0,1.0
2576,1.0,1.0
2480,1.0,1.0
3613,0.0,1.0
1104,0.0,0.0
3015,1.0,1.0
3431,1.0,1.0
3057,1.0,1.0
802,1.0,1.0
2644,1.0,1.0
1614,1.0,1.0
1164,1.0,1.0
838,1.0,1.0
58,0.0,1.0
76,0.0,0.0
368,1.0,1.0
1018,0.0,1.0
3301,1.0,1.0
2706,1.0,1.0
1096,1.0,1.0
2355,1.0,1.0
1281,1.0,1.0
555,0.0,1.0
2828,1.0,1.0
655,0.0,1.0
2683,1.0,1.0
2431,1.0,1.0
124,1.0,1.0
3102,1.0,1.0
3227,1.0,1.0
2292,1.0,1.0
1945,1.0,1.0
429,1.0,1.0
1642,1.0,1.0
682,1.0,1.0
1017,1.0,1.0
4064,1.0,1.0
2429,0.0,1.0
811,1.0,1.0
2781,1.0,1.0
387,1.0,1.0
30,0.0,1.0
1777,0.0,1.0
203,0.0,0.0
2922,1.0,1.0
3919,1.0,1.0
785,1.0,1.0
1398,1.0,1.0
1987,1.0,1.0
2720,1.0,1.0
478,1.0,1.0
1833,0.0,1.0
3952,1.0,1.0
443,1.0,1.0
2403,1.0,1.0
2567,0.0,0.0
2149,0.0,1.0
192,1.0,1.0
567,0.0,1.0
3926,1.0,1.0
964,1.0,1.0
6,1.0,1.0
439,1.0,1.0
289,0.0,1.0
2666,0.0,1.0
642,0.0,1.0
3473,1.0,1.0
2236,0.0,1.0
1814,1.0,1.0
2044,1.0,1.0
3246,1.0,1.0
3981,1.0,1.0
3517,0.0,1.0
1268,1.0,1.0
194,1.0,1.0
450,1.0,1.0
1769,0.0,1.0
1138,0.0,1.0
29,1.0,1.0
1023,0.0,1.0
2387,1.0,1.0
2663,1.0,1.0
1068,1.0,1.0
1929,1.0,1.0
3007,1.0,1.0
1590,1.0,1.0
1957,1.0,1.0
3759,0.0,1.0
3021,1.0,1.0
2996,1.0,1.0
2164,1.0,0.0
222,1.0,1.0
3355,0.0,1.0
1159,1.0,1.0
573,1.0,1.0
1055,1.0,1.0
3434,1.0,1.0
1582,0.0,1.0
1295,1.0,1.0
1717,0.0,1.0
3700,1.0,1.0
80,1.0,1.0
