bwd_byts_b_avg_median_443,bwd_byts_b_avg_max_5228,flow_iat_min_max_443,fwd_iat_mean_median_443,flow_byts_s_median_443,bwd_header_len_mean_80,subflow_bwd_pkts_mean_80,tot_bwd_pkts_mean_80,flow_iat_std_median_443,bwd_byts_b_avg_max_443,fwd_pkts_s_median_443,bwd_pkt_len_std_median_443,bwd_blk_rate_avg_mean_443,bwd_pkt_len_mean_max_443,fwd_iat_std_median_443,flow_pkts_s_median_443,bwd_byts_b_avg_sum_80,bwd_seg_size_avg_max_443,bwd_iat_std_median_443,bwd_blk_rate_avg_median_443,hash,malicious,Flow_Network_Analysis,MAS_Analysis
0.0,6747.0,22379.0,25586.383928571428,19222.65625091595,100.0,5.0,5.0,31436.101919616947,5005986.0,41.103100892815455,432.47214939230486,1886385.929745148,1489.715453802126,43151.78037928885,84.83325893596094,0.0,1489.715453802126,39497.16171204621,0.0,456F88400B0D3F6E41D40E039A5A634AB40A76284BB9EBABA436D5EA1542F99A,0.0,1.0,False
4411.0,6745.0,2260.0,16949.5,40223.26989482978,80.0,4.0,4.0,23892.31955956538,26477659.5,55.4239659126122,459.6719517813088,2777650.78681662,1492.6807530952624,31653.978179422145,132.49876776145982,0.0,1492.6807530952624,29919.411991840683,630029.8446022435,A47220681F5726285654D1158CE303B0DCD5137C91FF5809476F1230EE8E0649,0.0,0.0,False
4605.0,6746.0,2133.0,16999.339263803682,44025.18739479275,100.0,5.0,5.0,25621.228383325,26477664.0,58.33454863642992,516.3351839267443,3148416.393458143,1493.6749041676862,34554.953573720726,133.46176610535358,0.0,1493.6749041676862,29860.823605657013,1391632.0514538388,4A8B340685492B0297474ED4ECF562E1A29BFC1B10C1A163B57292BE3360460F,1.0,1.0,False
4605.0,6745.0,1988.0,37894.394117647054,18291.774578966044,100.0,5.0,5.0,71466.35883693516,3507417.0,26.647579285472,575.7263025110435,3076628.4637035583,1492.3811769530448,88626.17407398243,48.74513018240694,0.0,1492.3811769530448,62531.03091793973,2548088.442698776,4B22DC002B20D886C68CD8FD639969E15D9C101CBA8445B1DFD60DD03BB11950,0.0,1.0,False
4599.0,6745.0,2105.0,10388.225230414746,65615.85528065976,100.0,5.0,5.0,16688.36297160918,6911043.0,90.45271584279318,440.95693152255626,3542923.0227280525,1491.9583333333333,22660.85891499773,181.0257195772353,0.0,1491.9583333333333,21462.67399207284,2124694.3765281173,7161AC65DC2A5C7914688D702F2C175E5A9ED4132E2ED4BB59AA263FD0339DE6,1.0,1.0,False
3384.0,6745.0,31147.0,30428.39285714286,17956.347422736017,266.6666666666667,13.333333333333334,13.333333333333334,32398.94888979325,26655996.5,34.75731374090294,432.47214939230486,4911745.376976005,1492.6398333175491,44080.80554693467,73.91365406931622,69528.0,1492.6398333175491,41151.50613261012,42728.279791106186,3D1EB0D568290B21027A5DBCFA5E2618AC94475C99E50FCF1FD1AEC185BB1B47,0.0,0.0,False
0.0,6747.0,2015.0,7337.145833333334,74649.38547261301,80.0,4.0,4.0,13746.596658524712,6911043.0,87.77511809417481,375.45775277966095,2992601.5128117204,1491.9275435073628,16644.520347742022,171.78174230461522,0.0,1491.9275435073628,13307.789855185229,0.0,FE149BB7C8C6EF71D2C5F40F8D17C3B04FEE84CB93BE06F80E68ECB3777250E7,0.0,0.0,False
4424.5,6748.0,2222.0,31225.55,38716.1884397199,100.0,5.0,5.0,47198.205725953485,3505430.5,28.96429971855359,514.6978603289608,4133001.93428873,1492.451374640952,65712.31921285274,66.28654962461,0.0,1492.451374640952,50554.20596926511,2485014.1499129585,2730D5AB90D295D892F33D4E30499F6A5E2A2CD36723169B4C75FA5D27747E13,0.0,0.0,False
4412.0,6559.0,2222.0,11816.75,40910.03965769151,100.0,5.0,5.0,19706.56720003765,26477660.0,60.24640780793446,473.55998277478994,3137811.3172672666,1493.6746866759102,20960.149759961165,119.9365668824044,0.0,1493.6746866759102,20863.149618802265,2191701.7391216373,F1831FAEC1E1B4D89D1CEC3BBF26EDE0480AF811005BB333D09C6DCAE00819AE,1.0,0.0,False
0.0,6747.0,44969.0,35733.25,13802.837904266138,80.0,4.0,4.0,41236.33400488721,26656000.0,30.98709602511361,432.47214939230486,593455.355446156,1484.4131852455675,56558.46803468445,65.39367050007216,0.0,1484.4131852455675,50329.35722441141,0.0,40E5897248F38AE22529B61E216C503BFC12D546DEFA2318C98293DD67C9595E,0.0,0.0,True
4604.5,6745.0,2097.0,10813.05,80786.17434122798,80.0,4.0,4.0,17846.35400482291,6911188.0,101.2674556378282,484.1894787723253,3110678.657546755,1491.9583333333333,26981.33491381588,208.0417675250445,0.0,1491.9583333333333,23646.811593709823,2305631.333426199,BDAD969123E42AACAB05A59EB1FE436C9787879C82054BC8FC45BDCEE7921B7D,1.0,1.0,True
3553.0,6748.0,60122.0,32170.5625,14901.540156339644,80.0,4.0,4.0,46021.50524811071,5006024.0,31.431121030575724,443.78172108255706,1342811.0063167764,1468.3072211476467,61300.77228685387,63.14169414908449,0.0,1468.3072211476467,59261.83221266387,108666.94085413784,A00995A7F6FA3FE9000E7716536C0B937E71C26F99F4CCD1AC9F18E92DAF6B6A,1.0,0.0,False
4413.0,6559.0,1951.0,8457.333333333334,83688.35528014459,80.0,4.0,4.0,11098.982658584324,26477663.0,109.26931608335065,537.3888263500378,3003660.8904477013,1493.6357111787734,14140.841622847953,231.2092242427898,0.0,1493.6357111787734,12036.16240058821,1605991.295784491,659BF733F49DE6C565C17AEB44C204E6A26546F06EDD45ED696741C2359C5CB7,0.0,0.0,True
4618.0,6745.0,1968.0,19276.82352941176,38237.07592072488,80.0,4.0,4.0,35276.97283452534,6910956.0,54.9718889547184,521.5511618231378,4201652.030443353,1491.9583333333333,48763.23010666626,111.5880857400804,0.0,1491.9583333333333,34142.94219034797,3000765.694620642,6E4DE5CB1217FD7C563F1C7427FC44C62D1F5139F538065D79AC85DA4F42E5CE,1.0,1.0,False
4417.0,6748.0,2271.0,10407.625,82183.92238046542,80.0,4.0,4.0,12874.502602042536,26477660.0,103.7393313528552,477.5376152954078,3494600.5879994337,1493.0878308603728,18363.9118068564,207.58167350368208,0.0,1493.0878308603728,15857.592419974248,1810073.911988792,2B1E89306282DCE25D49D5F80350FA9A15C67005C8B93DFBDE4A2A2B4E7AFFC6,0.0,0.0,False
