flow_duration_443,flow_byts_s_443,flow_pkts_s_443,fwd_pkts_s_443,bwd_pkts_s_443,tot_fwd_pkts_443,tot_bwd_pkts_443,totlen_fwd_pkts_443,totlen_bwd_pkts_443,flow_duration_53,flow_byts_s_53,flow_pkts_s_53,fwd_pkts_s_53,bwd_pkts_s_53,tot_fwd_pkts_53,tot_bwd_pkts_53,totlen_fwd_pkts_53,totlen_bwd_pkts_53,flow_duration_80,flow_byts_s_80,flow_pkts_s_80,fwd_pkts_s_80,bwd_pkts_s_80,tot_fwd_pkts_80,tot_bwd_pkts_80,totlen_fwd_pkts_80,totlen_bwd_pkts_80,flow_duration_853,flow_byts_s_853,flow_pkts_s_853,fwd_pkts_s_853,bwd_pkts_s_853,tot_fwd_pkts_853,tot_bwd_pkts_853,totlen_fwd_pkts_853,totlen_bwd_pkts_853,flow_duration_5228,flow_byts_s_5228,flow_pkts_s_5228,fwd_pkts_s_5228,bwd_pkts_s_5228,tot_fwd_pkts_5228,tot_bwd_pkts_5228,totlen_fwd_pkts_5228,totlen_bwd_pkts_5228,flow_duration_123,flow_byts_s_123,flow_pkts_s_123,fwd_pkts_s_123,bwd_pkts_s_123,tot_fwd_pkts_123,tot_bwd_pkts_123,totlen_fwd_pkts_123,totlen_bwd_pkts_123,flow_duration_68,flow_byts_s_68,flow_pkts_s_68,fwd_pkts_s_68,bwd_pkts_s_68,tot_fwd_pkts_68,tot_bwd_pkts_68,totlen_fwd_pkts_68,totlen_bwd_pkts_68,flow_duration_67,flow_byts_s_67,flow_pkts_s_67,fwd_pkts_s_67,bwd_pkts_s_67,tot_fwd_pkts_67,tot_bwd_pkts_67,totlen_fwd_pkts_67,totlen_bwd_pkts_67,flow_duration_9999,flow_byts_s_9999,flow_pkts_s_9999,fwd_pkts_s_9999,bwd_pkts_s_9999,tot_fwd_pkts_9999,tot_bwd_pkts_9999,totlen_fwd_pkts_9999,totlen_bwd_pkts_9999,flow_duration_8080,flow_byts_s_8080,flow_pkts_s_8080,fwd_pkts_s_8080,bwd_pkts_s_8080,tot_fwd_pkts_8080,tot_bwd_pkts_8080,totlen_fwd_pkts_8080,totlen_bwd_pkts_8080,hash,repack
4932043.93675889,98351.0991166243,146.501226149889,55.1171857684281,91.3840403814609,153.03162055336,545.375494071146,11627.4466403162,744108.276679842,0,0,0,0,0,1,0,84.2168674698795,0,1919789.66666667,77962.5433730788,122.787675741703,56.8141215595559,65.9735541821474,16,20,1263.33333333333,24387.3333333333,0,0,0,0,0,1,0,74,0,965862.5,4919.20772570262,20.6783363655672,10.5231811372956,10.1551552282716,9.5,9,1140.5,4164,81893,2197.99006020051,24.4221117800056,12.2110558900028,12.2110558900028,1,1,90,90,249,4738955.82329317,8032.12851405623,8032.12851405623,0,2,0,1180,0,259,2332046.33204633,7722.00772200772,7722.00772200772,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97511A14AC1AA5048B8E4074636793856739B90AF5B347D477F2D0F6327CA2AB,0
7852273.4556962,55876.3099893186,85.6246423020753,34.7874956584734,50.8371466436019,231.987341772152,439.943037974684,15528.5696202532,638139.405063291,73558.9852941177,0.505678968859901,0.00587998800999885,0.00587998800999885,0,1.01470588235294,0,84.5294117647059,0,2447705,893.177695349005,8.06872753338271,4.57809850180809,3.49062903157462,5,4,638,410.5,0,0,0,0,0,1,0,74,0,1155940,7433.51626238649,26.4513399778323,13.5009541509925,12.9503858268398,10.3333333333333,10,1081.33333333333,5341.33333333333,63558.5,708.009156918429,7.86676841020477,3.93338420510239,3.93338420510239,1,0.5,90,45,148,7972972.97297297,13513.5135135135,13513.5135135135,0,2,0,1180,0,160,3775000,12500,12500,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A8477AC2B6C3FFEA5624863F10C4AD44E6D2DA2564BC9F427A6F15D07FF1C4FA,0
9042057.25581395,273389.408715306,308.844098571978,113.86594569438,194.978152877598,111.96511627907,214.209302325581,10222.523255814,301497.837209302,0,0,0,0,0,1,0,79.8350515463918,0,7018172,85.4900185511036,0.911482761558736,0.738683008725812,0.172799752832923,4.16666666666667,0.555555555555556,348.777777777778,58.6666666666667,0,0,0,0,0,1,0,74,0,999977.75,4550.95215785689,20.0938947194839,10.1027057091134,9.99118901037051,8.75,9.25,1033.5,4090.75,198858,907.213352026858,10.080148355854,5.04007417792699,5.04007417792699,1,1,90,90,223,5291479.8206278,8968.60986547085,8968.60986547085,0,2,0,1180,0,232,2603448.27586207,8620.68965517241,8620.68965517241,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79E986CED8EBE8A8E23684E8CE778F65ED73FCCE7EB2FBA05E2DB404246E12D0,0
5280670.74242424,228086.75244073,453.476370843088,201.208723501313,252.267647341775,128.69696969697,251.090909090909,11515.4545454545,360315.53030303,0,0,0,0,0,1,0,81.3673469387755,0,1261271,57803.6906554589,531.446618635183,303.627001006376,227.819617628807,5,4,638,410.5,63109161,8.20800075968169,0.110918929184888,0.110918929184888,0,7,0,518,0,791148.333333333,10909.3487924996,48.5286291573787,25.4503398240683,23.0782893333104,10.6666666666667,10,1099.66666666667,5340,13292,13541.9801384291,150.466445982546,75.233222991273,75.233222991273,1,1,90,90,407,2899262.8992629,4914.00491400491,4914.00491400491,0,2,0,1180,0,420,1438095.23809524,4761.90476190476,4761.90476190476,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11CE42C1DAB99D0213C083095FADED0764F5707B715210A9DBD90BD9BA2824FB,0
8324780.39473684,234613.201927806,266.755458563228,93.7647358267181,172.99072273651,212.754385964912,454.482456140351,15303.6315789474,663262.763157895,0,0,0,0,0,1,0,81.8219178082192,0,7566068.5,7010.09969995463,64.3963646145057,36.7789727524732,27.6173918620325,6,5,808,528,0,0,0,0,0,1,0,74,0,1258702.6,4746.7681340372,24.0733791895423,12.7495497987956,11.3238293907467,9,8.4,1059,3394,73978.5,2441.03166846174,27.1225740940194,13.5612870470097,13.5612870470097,1,1,90,90,201,5870646.76616915,9950.2487562189,9950.2487562189,0,2,0,1180,0,244,2475409.83606557,8196.72131147541,8196.72131147541,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A4D2A060BD73D97A8B458EBC491E9D11D54EF67FA486391DD5E977070D613AE1,0
4575294.82694541,366011.344225499,462.97194270432,159.026628201225,303.945314503094,171.08362369338,628.740418118467,13040.3449477352,848683.81300813,15992.4872204473,0.104036503293411,0.00127651321231358,0.00127651321231358,0,1.00319488817891,0,83.6741214057508,0,2192517.23376623,3090.4828862398,24.833458426497,13.1365894977314,11.6968689287656,5.62337662337662,5.41558441558442,1131.64935064935,516.103896103896,0,0,0,0,0,1,0,74,0,860134.782608696,357717.782415568,6527.66365718056,3264.23843921917,3263.42521796139,9.60869565217391,9.04347826086956,1040.47826086957,4588.34782608696,116500,1720.3242004366,19.1147133381844,9.5573566690922,9.5573566690922,1,1,90,90,258.571428571429,4956242.48115275,8400.41098500466,8400.41098500466,0,2,0,1180,0,271.571428571429,2403866.18466001,7959.82180350998,7959.82180350998,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05D7C5F77453137DA3AEF2C10D8C2ADF6402E5796B8EFFEB98FAE1C0BCAA9118,0
4973772.28915663,32138.6772566149,65.2518964380828,27.8235091585153,37.4283872795675,165.927710843373,377.740963855422,11672.8855421687,547043.927710843,0,0,0,0,0,1,0,82.8690476190476,0,2111642,71792.7905667649,111.538217612091,52.1735403400543,59.364677272037,16.6666666666667,20,1297.33333333333,24387.3333333333,0,0,0,0,0,1,0,74,0,1907243,5089.60098658961,19.549148088296,10.2262161785845,9.32293190971152,11,10.3333333333333,1117.66666666667,5297,153832,1170.10764990379,13.0011961100421,6.50059805502106,6.50059805502106,1,1,90,90,7914,149102.855698762,252.716704574172,252.716704574172,0,2,0,1180,0,7917,76291.5245673866,252.620942276115,252.620942276115,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6A87D5866B19E6ACC538DE3A2A0D3CF77ACFF3DB97E2B644E5E753D5C2963003,0
9454840.78409091,180097.022936985,218.069010801651,81.8489105067346,136.220100294917,95.7613636363636,197.215909090909,10777.5909090909,274197.113636364,0,0,0,0,0,1,0,81.9152542372881,0,5318104,6656.1156340895,61.1648380870545,34.9378315632511,26.2270065238033,5,4,638,410.5,0,0,0,0,0,1,0,74,0,744274.5,6324.85082466097,26.6660575041733,13.5733895625064,13.0926679416669,9.5,9,1124,4149,74258.5,2425.51873986413,26.9502082207126,13.4751041103563,13.4751041103563,1,1,90,90,232,5086206.89655172,8620.68965517241,8620.68965517241,0,2,0,1180,0,245,2465306.12244898,8163.26530612245,8163.26530612245,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08D0535BFCC2922A5F4A47F583E18BEEC257EC78761DEAA0D4ACC2DFB434DFFE,0
4030861.86827957,68352.2777973997,119.35682689262,47.9245379450352,71.4322889475848,113.233870967742,417.913978494624,8863.7123655914,562126.010752688,57498.7356321839,0.353853846367184,0.00459550449827511,0.00459550449827511,0,1.01149425287356,0,84.6436781609195,0,1619825.75,2662.63723956222,24.2002698298565,14.0263333465504,10.173936483306,4.25,3.25,503.875,422.375,0,0,0,0,0,1,0,74,0,733802.6,7466.58476869815,31.6581493161156,16.5481619478288,15.1099873682868,10.2,9.6,1063.2,4800.4,75788,2375.04618145353,26.3894020161503,13.1947010080752,13.1947010080752,1,1,90,90,238,4957983.19327731,8403.36134453781,8403.36134453781,0,2,0,1180,0,249,2425702.81124498,8032.12851405623,8032.12851405623,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9B986C4555142285900DE4A5205E3E8093704E44BFDF45E358AF93EC6521BD33,0
5482394.66176471,229462.553545933,493.250230174897,203.793177338367,289.45705283653,151.578431372549,304.352941176471,12790.2450980392,440026.916666667,0,0,0,0,0,1,0,81.3081761006289,0,830528.166666667,69782.5561286673,640.662319136753,365.820766596391,274.841552540362,5.33333333333333,4.33333333333333,694.666666666667,449.666666666667,58569850.2857143,9.07228893576783,0.122598499131998,0.122598499131998,0,6.85714285714286,0,507.428571428571,0,4032481.63636364,17685.4112640967,58.3442103424571,29.4392190937862,28.9049912486709,10,10.1818181818182,1058.72727272727,5113.36363636364,13705,13135.1382565375,145.945980628194,72.972990314097,72.972990314097,1,1,90,90,462.666666666667,2709832.49676321,4592.93643519189,4592.93643519189,0,2,0,1180,0,475.333333333333,1344916.21958946,4453.36496552801,4453.36496552801,0,2,0,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5CDFCE362EC9F7FD7F45F9B8CC9470F692FA90375BCA6391641B467103C3434D,0
