Index,Malicious,Pred
965,0.0,1.0
961,1.0,1.0
3086,0.0,0.0
3076,1.0,0.0
2465,1.0,0.0
545,0.0,0.0
3725,0.0,1.0
1473,1.0,1.0
4020,1.0,1.0
224,1.0,1.0
3536,1.0,1.0
2734,0.0,1.0
817,0.0,1.0
794,1.0,1.0
682,1.0,1.0
142,0.0,0.0
1363,1.0,1.0
1084,1.0,1.0
1280,1.0,0.0
87,1.0,1.0
457,0.0,1.0
2401,0.0,1.0
3496,1.0,1.0
3434,1.0,1.0
1644,1.0,0.0
1708,1.0,1.0
3962,0.0,1.0
3211,1.0,1.0
971,1.0,1.0
1931,0.0,1.0
1696,1.0,1.0
3750,1.0,0.0
2803,1.0,1.0
1757,1.0,1.0
840,1.0,1.0
2585,1.0,1.0
3477,0.0,1.0
2906,1.0,1.0
2868,1.0,1.0
567,0.0,1.0
3050,1.0,1.0
2613,1.0,1.0
1649,1.0,1.0
2506,1.0,1.0
2239,0.0,1.0
3009,1.0,0.0
3554,0.0,1.0
1861,1.0,1.0
2110,1.0,1.0
2470,0.0,1.0
1989,1.0,1.0
2347,1.0,1.0
31,1.0,1.0
2551,1.0,1.0
735,1.0,1.0
1070,1.0,1.0
538,1.0,1.0
1710,1.0,1.0
716,1.0,1.0
453,1.0,0.0
572,1.0,1.0
2905,1.0,1.0
528,1.0,1.0
2234,1.0,1.0
2327,1.0,0.0
467,1.0,1.0
3927,1.0,1.0
2192,0.0,0.0
3739,1.0,1.0
1300,1.0,1.0
2424,1.0,1.0
3573,1.0,1.0
1285,1.0,1.0
304,1.0,1.0
2980,0.0,1.0
2161,1.0,1.0
1436,0.0,1.0
1357,0.0,1.0
2244,1.0,1.0
2359,0.0,1.0
3149,0.0,0.0
866,1.0,1.0
3571,0.0,0.0
3218,1.0,1.0
3327,1.0,1.0
683,0.0,1.0
2534,0.0,0.0
3963,1.0,1.0
1663,1.0,1.0
2065,0.0,1.0
1569,0.0,1.0
2472,0.0,0.0
45,1.0,1.0
1270,0.0,0.0
1601,1.0,1.0
3387,0.0,0.0
3793,1.0,1.0
2450,1.0,1.0
1943,1.0,1.0
499,0.0,1.0
3658,1.0,1.0
1798,1.0,1.0
185,1.0,1.0
917,0.0,1.0
3838,1.0,1.0
3559,1.0,1.0
2983,0.0,1.0
3293,1.0,1.0
2861,1.0,1.0
3816,1.0,1.0
352,1.0,1.0
3129,1.0,1.0
1651,0.0,0.0
3916,1.0,1.0
2196,1.0,1.0
1236,0.0,1.0
381,1.0,1.0
530,1.0,1.0
2876,1.0,0.0
347,1.0,1.0
1128,0.0,0.0
1972,0.0,1.0
217,1.0,1.0
2466,1.0,1.0
2164,1.0,0.0
33,1.0,1.0
2587,1.0,1.0
463,1.0,1.0
326,0.0,0.0
3596,0.0,0.0
3440,0.0,1.0
2578,1.0,1.0
1853,1.0,1.0
3021,1.0,1.0
562,1.0,1.0
3771,1.0,1.0
3597,1.0,0.0
2070,0.0,0.0
2249,1.0,1.0
2531,1.0,1.0
958,0.0,1.0
3004,1.0,0.0
1999,1.0,1.0
311,1.0,1.0
3659,1.0,0.0
3384,0.0,0.0
2488,1.0,1.0
692,1.0,1.0
905,1.0,1.0
1009,0.0,1.0
2104,1.0,1.0
3598,0.0,0.0
2209,1.0,1.0
836,1.0,1.0
88,1.0,1.0
775,1.0,1.0
3524,1.0,1.0
773,0.0,0.0
3754,1.0,1.0
1059,0.0,1.0
214,0.0,0.0
3274,1.0,0.0
1288,1.0,1.0
1746,1.0,1.0
485,1.0,1.0
2123,0.0,1.0
546,1.0,1.0
3416,1.0,1.0
1271,0.0,1.0
1266,0.0,1.0
1180,1.0,1.0
1082,1.0,1.0
3939,0.0,0.0
1523,1.0,1.0
1351,1.0,1.0
501,1.0,1.0
1,1.0,1.0
2709,0.0,1.0
3470,1.0,1.0
1824,0.0,1.0
3941,1.0,1.0
3952,1.0,1.0
3921,1.0,1.0
536,0.0,1.0
1275,0.0,1.0
2993,1.0,1.0
3340,1.0,1.0
3147,1.0,1.0
378,0.0,1.0
4026,1.0,1.0
521,1.0,1.0
70,1.0,1.0
1095,1.0,1.0
85,1.0,1.0
3338,1.0,1.0
3305,1.0,1.0
638,0.0,1.0
1431,1.0,1.0
1875,1.0,1.0
117,0.0,1.0
1934,1.0,1.0
189,1.0,1.0
2988,0.0,1.0
2025,1.0,1.0
3043,1.0,1.0
3271,1.0,1.0
2955,1.0,1.0
2522,0.0,1.0
2030,0.0,1.0
4054,1.0,1.0
3605,1.0,1.0
2427,1.0,1.0
2848,1.0,1.0
2205,1.0,1.0
2485,1.0,0.0
3692,1.0,1.0
3746,1.0,1.0
514,1.0,1.0
1789,1.0,1.0
2565,1.0,1.0
936,1.0,1.0
192,1.0,1.0
4023,1.0,1.0
3084,0.0,1.0
1503,1.0,1.0
3473,1.0,1.0
3613,0.0,1.0
3366,1.0,1.0
3124,1.0,1.0
983,1.0,1.0
1948,0.0,1.0
3811,1.0,1.0
2275,1.0,1.0
666,0.0,1.0
641,1.0,0.0
2843,1.0,1.0
578,1.0,1.0
3415,1.0,1.0
3761,1.0,1.0
1273,1.0,1.0
1726,1.0,1.0
868,0.0,0.0
3178,1.0,1.0
1643,1.0,1.0
2012,1.0,0.0
42,1.0,0.0
3157,1.0,1.0
1700,0.0,1.0
3394,1.0,1.0
3674,1.0,1.0
517,1.0,1.0
482,0.0,1.0
3265,1.0,1.0
481,0.0,1.0
1109,0.0,1.0
3308,1.0,1.0
1774,1.0,1.0
1950,1.0,1.0
2518,1.0,1.0
3722,1.0,1.0
3488,1.0,1.0
1855,0.0,1.0
1427,1.0,1.0
788,1.0,1.0
526,0.0,1.0
998,1.0,1.0
2670,0.0,1.0
543,1.0,1.0
2777,0.0,0.0
1961,1.0,1.0
3377,1.0,1.0
1540,1.0,0.0
2385,0.0,0.0
634,1.0,1.0
3007,1.0,1.0
3042,0.0,1.0
935,0.0,1.0
1292,1.0,1.0
248,0.0,1.0
170,0.0,1.0
527,1.0,1.0
2628,1.0,1.0
3846,1.0,1.0
1073,0.0,1.0
615,1.0,1.0
1410,0.0,1.0
1793,1.0,1.0
3072,1.0,1.0
712,1.0,1.0
1462,1.0,1.0
598,0.0,1.0
2216,1.0,1.0
1424,1.0,1.0
1632,0.0,1.0
2224,1.0,1.0
1068,1.0,1.0
3703,0.0,0.0
2281,0.0,1.0
883,1.0,1.0
3380,1.0,1.0
2549,0.0,0.0
1770,0.0,0.0
2994,1.0,1.0
2074,1.0,1.0
2762,1.0,0.0
581,1.0,1.0
1495,1.0,1.0
2704,1.0,1.0
2943,1.0,0.0
1977,1.0,1.0
3467,1.0,1.0
675,0.0,1.0
2318,0.0,0.0
3495,0.0,1.0
2509,1.0,1.0
520,1.0,1.0
896,1.0,1.0
685,1.0,1.0
4058,1.0,1.0
496,1.0,1.0
918,0.0,1.0
2729,0.0,1.0
2285,1.0,1.0
3568,1.0,1.0
3370,1.0,1.0
1078,1.0,1.0
3424,1.0,1.0
3232,1.0,1.0
2619,1.0,1.0
1602,1.0,1.0
3389,1.0,1.0
410,0.0,0.0
3519,1.0,1.0
3267,1.0,1.0
1587,1.0,1.0
3135,0.0,1.0
39,1.0,1.0
2368,1.0,1.0
3442,0.0,0.0
1411,1.0,1.0
2746,0.0,1.0
1414,1.0,1.0
799,0.0,1.0
465,1.0,1.0
3266,1.0,1.0
3572,0.0,0.0
2044,1.0,1.0
898,0.0,1.0
3319,1.0,1.0
3096,1.0,0.0
2586,0.0,1.0
3382,1.0,1.0
2694,1.0,0.0
895,1.0,1.0
30,0.0,1.0
1504,1.0,1.0
3671,1.0,1.0
1362,0.0,1.0
1852,1.0,1.0
2584,1.0,1.0
531,1.0,0.0
3535,0.0,0.0
253,1.0,1.0
1547,1.0,1.0
1336,1.0,0.0
3474,1.0,1.0
1328,1.0,1.0
1962,1.0,1.0
1380,0.0,1.0
3347,1.0,1.0
3284,0.0,1.0
308,0.0,0.0
