Index,Malicious,Pred
4891,1.0,1.0
306,1.0,0.0
4996,1.0,1.0
3988,1.0,1.0
1861,1.0,1.0
2909,1.0,0.0
1388,1.0,1.0
2334,0.0,0.0
3767,1.0,1.0
4733,0.0,1.0
4193,1.0,1.0
2143,1.0,0.0
1883,0.0,0.0
3933,1.0,0.0
2638,1.0,0.0
3021,1.0,0.0
216,0.0,0.0
3063,1.0,0.0
4811,1.0,1.0
5602,1.0,1.0
3951,1.0,0.0
204,1.0,1.0
5361,1.0,1.0
2234,0.0,0.0
3852,0.0,0.0
574,0.0,1.0
2249,0.0,0.0
1392,1.0,1.0
1700,0.0,1.0
4896,0.0,1.0
2743,0.0,1.0
1549,1.0,1.0
1558,1.0,0.0
3631,1.0,1.0
1330,1.0,0.0
912,1.0,1.0
4998,0.0,0.0
685,0.0,0.0
778,1.0,1.0
4652,0.0,0.0
2710,0.0,0.0
4101,0.0,0.0
5825,1.0,1.0
431,0.0,0.0
2483,0.0,0.0
4627,0.0,0.0
1098,1.0,1.0
1819,1.0,1.0
5079,0.0,0.0
474,1.0,0.0
610,1.0,1.0
4035,1.0,0.0
3930,1.0,1.0
3176,0.0,0.0
1024,0.0,1.0
3990,0.0,0.0
131,1.0,1.0
4607,0.0,0.0
4586,0.0,0.0
2617,1.0,0.0
875,0.0,1.0
980,1.0,0.0
145,1.0,1.0
2339,0.0,1.0
4044,1.0,0.0
1708,0.0,0.0
5504,1.0,0.0
1369,0.0,1.0
4628,1.0,1.0
5322,0.0,1.0
4419,1.0,1.0
3608,1.0,1.0
4507,0.0,0.0
2593,0.0,1.0
4554,1.0,1.0
1261,1.0,1.0
2038,1.0,1.0
3612,0.0,0.0
1097,1.0,1.0
2196,1.0,1.0
208,0.0,0.0
2366,1.0,1.0
2401,1.0,0.0
4149,1.0,0.0
3287,1.0,0.0
5533,0.0,0.0
2242,1.0,1.0
1424,0.0,0.0
3897,1.0,1.0
2592,1.0,0.0
491,1.0,1.0
1010,1.0,1.0
3888,1.0,1.0
4719,1.0,1.0
2317,1.0,0.0
4350,0.0,1.0
561,1.0,1.0
5564,0.0,0.0
5395,0.0,1.0
2746,1.0,1.0
1466,1.0,0.0
2954,1.0,0.0
1542,1.0,0.0
2885,1.0,1.0
4229,0.0,0.0
3826,0.0,1.0
737,1.0,0.0
2164,0.0,1.0
1869,1.0,1.0
4619,1.0,1.0
1573,1.0,1.0
4775,1.0,1.0
2644,1.0,1.0
313,1.0,0.0
135,0.0,0.0
4313,1.0,1.0
4479,0.0,0.0
3833,1.0,1.0
3452,1.0,1.0
3120,0.0,1.0
1773,1.0,0.0
3743,0.0,1.0
15,1.0,1.0
5515,0.0,0.0
2068,0.0,0.0
1305,1.0,0.0
5890,1.0,0.0
4030,0.0,0.0
1815,1.0,0.0
2673,0.0,0.0
4919,0.0,1.0
3098,0.0,0.0
5241,0.0,0.0
3206,1.0,1.0
5389,1.0,1.0
4632,0.0,0.0
3665,1.0,1.0
814,0.0,1.0
3357,1.0,1.0
1435,1.0,1.0
677,0.0,1.0
873,0.0,0.0
5392,0.0,0.0
4787,1.0,1.0
2046,0.0,1.0
3638,1.0,1.0
2620,1.0,1.0
1751,0.0,0.0
14,1.0,0.0
4929,1.0,1.0
3355,1.0,1.0
854,1.0,1.0
3940,1.0,1.0
1863,1.0,0.0
3318,0.0,1.0
5173,0.0,0.0
1100,0.0,0.0
521,1.0,1.0
2251,0.0,0.0
5648,0.0,0.0
3204,0.0,0.0
4086,0.0,0.0
5238,1.0,1.0
2785,1.0,1.0
3649,1.0,1.0
171,1.0,0.0
3341,0.0,1.0
4687,1.0,1.0
4409,1.0,1.0
534,1.0,1.0
4615,1.0,1.0
1857,1.0,1.0
3832,0.0,0.0
4932,0.0,0.0
4692,0.0,1.0
466,1.0,1.0
559,0.0,0.0
2642,1.0,1.0
2179,1.0,1.0
1531,1.0,0.0
143,0.0,1.0
4904,1.0,1.0
3010,0.0,0.0
5732,1.0,0.0
866,0.0,0.0
2502,1.0,1.0
4356,1.0,1.0
3542,0.0,0.0
288,0.0,0.0
98,0.0,1.0
2532,0.0,0.0
5468,0.0,0.0
3406,0.0,0.0
4664,1.0,1.0
2035,0.0,1.0
2708,0.0,0.0
3690,0.0,0.0
396,0.0,1.0
2771,1.0,0.0
979,0.0,0.0
880,1.0,1.0
3330,0.0,0.0
3996,0.0,1.0
5456,1.0,1.0
2134,0.0,0.0
29,1.0,1.0
3735,0.0,0.0
3601,0.0,1.0
2272,1.0,1.0
1372,0.0,0.0
3155,0.0,0.0
42,0.0,0.0
1093,1.0,0.0
2610,0.0,1.0
4223,0.0,0.0
453,1.0,1.0
1627,0.0,0.0
2650,1.0,0.0
1031,1.0,1.0
4813,0.0,0.0
4926,1.0,1.0
1704,1.0,1.0
1832,1.0,1.0
5435,0.0,1.0
304,0.0,0.0
2798,1.0,1.0
259,1.0,1.0
2733,1.0,1.0
5216,1.0,1.0
504,1.0,1.0
2236,0.0,0.0
918,0.0,1.0
144,1.0,1.0
4253,0.0,0.0
535,1.0,1.0
4467,0.0,0.0
3113,0.0,0.0
1645,1.0,1.0
2895,0.0,1.0
3327,0.0,0.0
3324,1.0,1.0
1833,1.0,1.0
3127,0.0,0.0
3049,1.0,0.0
1765,0.0,0.0
636,0.0,1.0
3101,1.0,1.0
4153,1.0,0.0
3741,0.0,0.0
2257,0.0,0.0
2241,1.0,1.0
5678,0.0,1.0
557,0.0,0.0
4116,1.0,1.0
1707,1.0,1.0
1918,1.0,1.0
3653,1.0,0.0
4018,0.0,1.0
3702,0.0,0.0
1225,0.0,1.0
1371,0.0,0.0
5619,0.0,0.0
4238,1.0,1.0
1364,0.0,0.0
1420,0.0,0.0
1296,1.0,1.0
4326,0.0,0.0
686,0.0,1.0
4661,1.0,1.0
5475,0.0,1.0
4561,1.0,1.0
1757,0.0,1.0
4899,1.0,1.0
4036,0.0,1.0
2195,0.0,0.0
863,0.0,0.0
1839,1.0,1.0
1187,1.0,0.0
2721,1.0,1.0
1222,1.0,1.0
2104,1.0,1.0
733,0.0,0.0
5143,1.0,1.0
2875,0.0,1.0
4885,1.0,1.0
4396,0.0,1.0
3701,0.0,0.0
4065,0.0,0.0
2383,0.0,1.0
4405,1.0,0.0
2626,1.0,1.0
4925,1.0,1.0
4064,1.0,1.0
3331,1.0,1.0
5503,1.0,1.0
4059,1.0,0.0
3164,0.0,0.0
4020,0.0,0.0
4647,1.0,1.0
2939,1.0,1.0
2567,1.0,0.0
631,1.0,1.0
1609,0.0,0.0
2942,0.0,0.0
5871,0.0,0.0
981,1.0,1.0
4200,0.0,0.0
4909,0.0,0.0
1373,0.0,0.0
2856,1.0,0.0
226,0.0,1.0
3898,1.0,0.0
2515,1.0,1.0
2295,0.0,1.0
3056,0.0,0.0
5188,1.0,1.0
4120,1.0,1.0
2206,1.0,0.0
1068,0.0,1.0
5425,0.0,0.0
3721,0.0,0.0
285,0.0,1.0
5574,0.0,0.0
2191,1.0,1.0
3074,0.0,0.0
3335,1.0,1.0
5843,0.0,1.0
4418,0.0,0.0
2313,0.0,1.0
5163,1.0,1.0
3510,1.0,1.0
529,1.0,1.0
72,0.0,1.0
3753,0.0,0.0
3517,1.0,1.0
4902,1.0,1.0
4289,0.0,0.0
5263,0.0,0.0
1199,1.0,0.0
4957,1.0,1.0
4268,0.0,0.0
1792,1.0,0.0
2477,0.0,0.0
1930,1.0,1.0
5646,1.0,1.0
2174,0.0,1.0
39,0.0,1.0
3808,0.0,1.0
5631,1.0,0.0
1575,1.0,0.0
2881,0.0,0.0
1345,0.0,1.0
2268,1.0,1.0
844,1.0,1.0
994,0.0,1.0
5421,1.0,0.0
1935,1.0,1.0
3621,1.0,1.0
1845,1.0,0.0
1634,0.0,0.0
3776,1.0,0.0
1452,0.0,0.0
1626,0.0,0.0
5852,1.0,1.0
3157,1.0,1.0
5519,0.0,0.0
3788,0.0,0.0
5339,1.0,1.0
2427,1.0,1.0
1,1.0,1.0
4513,1.0,0.0
5891,0.0,1.0
2069,0.0,1.0
197,1.0,1.0
4533,0.0,0.0
1992,1.0,1.0
5563,0.0,0.0
2661,1.0,1.0
2008,0.0,0.0
5545,0.0,1.0
3825,1.0,1.0
3827,0.0,1.0
4541,0.0,0.0
1528,1.0,0.0
2474,0.0,0.0
2531,0.0,1.0
3633,0.0,0.0
2527,0.0,1.0
2619,0.0,1.0
1393,1.0,0.0
2969,1.0,1.0
1566,0.0,1.0
3606,0.0,0.0
3868,1.0,0.0
4024,0.0,1.0
2509,1.0,0.0
4294,1.0,1.0
2287,0.0,1.0
5707,1.0,1.0
5347,0.0,0.0
1756,1.0,0.0
5605,0.0,0.0
2177,0.0,1.0
3045,0.0,1.0
530,0.0,1.0
3567,1.0,1.0
4244,1.0,1.0
1463,0.0,0.0
622,0.0,1.0
3657,0.0,1.0
1172,0.0,1.0
4297,0.0,0.0
537,0.0,1.0
407,1.0,0.0
5776,0.0,0.0
2978,1.0,1.0
1165,0.0,0.0
4128,1.0,0.0
5831,0.0,0.0
4844,1.0,1.0
2230,0.0,1.0
5443,1.0,1.0
4595,1.0,0.0
3150,1.0,1.0
289,1.0,0.0
1959,0.0,1.0
3123,0.0,0.0
469,0.0,0.0
4027,1.0,1.0
1423,1.0,1.0
2031,1.0,1.0
4972,1.0,1.0
249,0.0,0.0
3843,0.0,1.0
4824,0.0,0.0
5070,0.0,1.0
5687,0.0,0.0
920,1.0,1.0
2767,1.0,1.0
5037,1.0,1.0
4432,1.0,1.0
2536,1.0,1.0
1304,1.0,1.0
5069,0.0,1.0
445,1.0,1.0
2832,0.0,1.0
2459,0.0,0.0
4963,0.0,1.0
916,1.0,1.0
3794,1.0,1.0
3511,1.0,1.0
4854,1.0,1.0
4344,1.0,1.0
4393,0.0,1.0
381,0.0,1.0
3637,1.0,1.0
4411,1.0,0.0
33,1.0,0.0
5434,0.0,0.0
4406,1.0,1.0
4487,0.0,0.0
5830,1.0,0.0
1400,1.0,1.0
2032,0.0,0.0
4726,0.0,1.0
3053,1.0,1.0
1162,0.0,0.0
2083,0.0,1.0
3766,0.0,0.0
4869,1.0,0.0
3524,0.0,0.0
1831,0.0,0.0
4698,0.0,1.0
541,0.0,0.0
49,1.0,0.0
770,0.0,0.0
4803,1.0,1.0
830,0.0,1.0
5166,0.0,0.0
3373,0.0,0.0
5512,0.0,1.0
501,1.0,1.0
2380,1.0,1.0
3742,1.0,1.0
5772,1.0,0.0
398,0.0,0.0
2110,0.0,0.0
2167,0.0,0.0
4121,1.0,0.0
1144,0.0,0.0
2815,1.0,0.0
3154,1.0,0.0
4512,0.0,0.0
996,1.0,1.0
5455,1.0,1.0
4100,0.0,0.0
2225,0.0,1.0
1163,1.0,0.0
1248,1.0,1.0
383,1.0,1.0
219,1.0,1.0
1147,1.0,1.0
5419,0.0,0.0
5845,0.0,1.0
5314,1.0,1.0
1365,0.0,1.0
1746,0.0,1.0
390,0.0,1.0
2375,0.0,0.0
644,1.0,1.0
3920,0.0,1.0
2808,0.0,1.0
3158,0.0,0.0
2374,0.0,0.0
3482,1.0,1.0
3064,0.0,1.0
5691,1.0,0.0
4602,0.0,1.0
2912,1.0,0.0
3129,1.0,1.0
4256,1.0,1.0
351,1.0,1.0
2752,0.0,1.0
5110,0.0,1.0
2218,0.0,0.0
3512,0.0,1.0
446,1.0,1.0
4837,0.0,1.0
1533,1.0,1.0
2982,1.0,0.0
4729,0.0,0.0
2384,0.0,0.0
1292,1.0,1.0
5472,0.0,0.0
2588,1.0,1.0
2404,1.0,0.0
4239,1.0,1.0
4630,1.0,1.0
382,1.0,1.0
5265,1.0,1.0
3876,1.0,0.0
3574,0.0,0.0
2013,1.0,1.0
5500,1.0,1.0
2842,0.0,1.0
951,0.0,0.0
4675,1.0,1.0
1328,1.0,0.0
5782,1.0,0.0
5694,1.0,0.0
1047,0.0,0.0
5530,1.0,1.0
3138,0.0,0.0
1444,1.0,1.0
2878,0.0,1.0
5439,0.0,0.0
417,0.0,1.0
5408,1.0,1.0
5644,1.0,0.0
5078,1.0,0.0
4831,1.0,1.0
3353,1.0,1.0
2699,1.0,0.0
2606,0.0,1.0
246,0.0,0.0
4104,0.0,0.0
155,0.0,1.0
4827,1.0,0.0
4156,1.0,0.0
4232,1.0,1.0
663,0.0,0.0
1174,1.0,1.0
1842,0.0,0.0
1738,0.0,0.0
3041,0.0,0.0
5429,1.0,1.0
5344,0.0,0.0
1191,1.0,0.0
66,1.0,1.0
4005,0.0,0.0
5817,0.0,0.0
4110,1.0,1.0
349,0.0,1.0
5132,1.0,1.0
1951,0.0,0.0
3498,1.0,1.0
1416,1.0,1.0
2997,0.0,0.0
3877,0.0,0.0
3490,0.0,0.0
3527,1.0,1.0
1538,0.0,1.0
4838,0.0,0.0
5396,1.0,1.0
350,1.0,1.0
1582,0.0,1.0
2156,0.0,0.0
4132,0.0,0.0
30,1.0,0.0
5706,0.0,0.0
2245,1.0,1.0
5543,0.0,1.0
3569,0.0,1.0
5842,1.0,0.0
3641,1.0,1.0
4767,1.0,1.0
1263,1.0,1.0
739,1.0,1.0
967,1.0,1.0
149,0.0,0.0
2458,1.0,0.0
5232,1.0,0.0
5592,1.0,0.0
3084,1.0,1.0
2431,0.0,0.0
3013,1.0,0.0
3061,0.0,0.0
560,1.0,1.0
1274,0.0,1.0
550,1.0,1.0
1998,1.0,0.0
3256,0.0,0.0
1033,0.0,0.0
533,1.0,0.0
139,1.0,1.0
662,0.0,0.0
4511,0.0,0.0
1743,1.0,1.0
3984,0.0,0.0
5544,0.0,0.0
5184,0.0,1.0
2274,0.0,0.0
1053,1.0,0.0
2520,0.0,1.0
497,1.0,1.0
2423,0.0,0.0
2029,1.0,0.0
1509,0.0,1.0
2231,0.0,1.0
4860,0.0,1.0
4527,0.0,0.0
523,1.0,0.0
2945,1.0,0.0
5763,1.0,1.0
532,1.0,0.0
3566,0.0,0.0
5861,0.0,0.0
519,0.0,0.0
4400,0.0,0.0
5495,1.0,0.0
1791,0.0,0.0
1936,1.0,1.0
3819,1.0,1.0
3496,1.0,1.0
5286,0.0,1.0
2028,1.0,1.0
2325,1.0,1.0
4187,1.0,1.0
5074,1.0,0.0
3237,1.0,1.0
3521,0.0,1.0
3038,0.0,1.0
1157,1.0,0.0
1694,1.0,1.0
603,0.0,1.0
3652,0.0,0.0
4614,1.0,1.0
1991,1.0,1.0
3089,1.0,1.0
3289,1.0,1.0
5043,0.0,0.0
522,0.0,0.0
1110,1.0,0.0
2986,1.0,1.0
4292,1.0,1.0
5840,0.0,0.0
1592,1.0,1.0
1517,0.0,0.0
243,1.0,0.0
1016,0.0,0.0
884,0.0,1.0
1515,1.0,1.0
3646,0.0,0.0
3179,0.0,0.0
1904,1.0,1.0
5320,0.0,0.0
5324,1.0,0.0
1971,0.0,1.0
5302,0.0,1.0
1928,0.0,0.0
5225,0.0,0.0
2841,1.0,1.0
3203,0.0,1.0
1622,0.0,1.0
3906,0.0,1.0
3716,1.0,0.0
4894,1.0,0.0
1724,0.0,0.0
3813,1.0,1.0
3853,1.0,1.0
1497,1.0,1.0
3077,1.0,1.0
5424,0.0,1.0
310,0.0,1.0
378,1.0,1.0
5138,0.0,1.0
1269,1.0,0.0
65,1.0,1.0
845,0.0,0.0
4186,1.0,1.0
4422,1.0,0.0
3873,0.0,1.0
3455,0.0,0.0
3822,0.0,0.0
5428,1.0,1.0
4542,1.0,1.0
