index,Feature,Gini Importance
118,bwd_byts_b_avg_median_443,0.37915396628309805
113,bwd_byts_b_avg_max_5228,0.03776116802903828
810,flow_iat_min_max_443,0.02858455417437365
1103,fwd_iat_mean_median_443,0.01907828988427426
643,flow_byts_s_median_443,0.01812147562801755
146,bwd_header_len_mean_80,0.015879822284593646
1988,subflow_bwd_pkts_mean_80,0.015492218727998431
2123,tot_bwd_pkts_mean_80,0.013203045320843435
856,flow_iat_std_median_443,0.01118291679656539
87,bwd_blk_rate_avg_mean_443,0.009250365552090514
112,bwd_byts_b_avg_max_443,0.00917534864327133
1420,fwd_pkts_s_median_443,0.007700928669305805
431,bwd_pkt_len_std_median_443,0.006731476736465679
130,bwd_byts_b_avg_sum_80,0.00640684534304055
359,bwd_pkt_len_mean_max_443,0.0060811150359471825
526,bwd_seg_size_avg_max_443,0.005682277695446819
1177,fwd_iat_std_median_443,0.0053326608894286205
899,flow_pkts_s_median_443,0.004910863949359256
270,bwd_iat_std_median_443,0.004672647826896426
436,bwd_pkt_len_std_skew_443,0.004476822049470957
90,bwd_blk_rate_avg_median_443,0.004383583895045946
183,bwd_iat_max_median_443,0.003492090256210087
487,bwd_pkts_s_mean_443,0.002840652067579959
742,flow_iat_max_median_443,0.002728531272707461
103,bwd_blk_rate_avg_var_443,0.0026171114854631294
1771,pkt_len_mean_median_443,0.0025630229096686515
94,bwd_blk_rate_avg_skew_443,0.002533165530521549
834,flow_iat_min_sum_443,0.002393419728091111
142,bwd_header_len_max_80,0.0023580115302971934
459,bwd_pkts_b_avg_mean_80,0.0023242205377810316
1414,fwd_pkts_s_mean_443,0.0022735305463300556
1901,pkt_size_avg_median_443,0.0021485899912367518
1984,subflow_bwd_pkts_max_80,0.002089730050094933
100,bwd_blk_rate_avg_sum_443,0.00203727530166395
126,bwd_byts_b_avg_std_5228,0.0019625050058436444
246,bwd_iat_min_skew_443,0.0019573539961824957
1909,pkt_size_avg_skew_443,0.0019309473962939776
212,bwd_iat_mean_median_443,0.0019170421228198902
1779,pkt_len_mean_skew_443,0.001892462816881854
1971,subflow_bwd_byts_sum_80,0.001860641866798644
97,bwd_blk_rate_avg_std_443,0.001859748876224976
634,flow_byts_s_max_80,0.0018433366893203628
1645,idle_std_min_853,0.0018402853510669096
2119,tot_bwd_pkts_max_80,0.0018347694112329056
98,bwd_blk_rate_avg_std_5228,0.0018126250997077971
156,bwd_header_len_skew_443,0.0018066048972802513
1833,pkt_len_std_max_443,0.0017792860948409302
1893,pkt_size_avg_max_443,0.0017453196510864512
984,fwd_blk_rate_avg_sum_443,0.001721717783099456
95,bwd_blk_rate_avg_skew_5228,0.0017082362417165885
1806,pkt_len_min_mean_443,0.0016751899475751899
119,bwd_byts_b_avg_median_5228,0.0016603635779776928
101,bwd_blk_rate_avg_sum_5228,0.0016308736273014917
666,flow_byts_s_sum_5228,0.0015937720335168623
1763,pkt_len_mean_max_443,0.0015539774274575592
237,bwd_iat_min_max_80,0.0015505533012735934
952,fwd_act_data_pkts_skew_443,0.0015493308161969605
1066,fwd_iat_max_median_443,0.0015485408765155831
890,flow_pkts_s_max_80,0.0014570940849092328
84,bwd_blk_rate_avg_max_443,0.0014431370986419043
1283,fwd_pkt_len_mean_max_443,0.0014298378281844
2199,totlen_bwd_pkts_max_443,0.001426542411401779
591,down_up_ratio_skew_443,0.0013985441834719517
1430,fwd_pkts_s_skew_443,0.0013902905709013028
104,bwd_blk_rate_avg_var_5228,0.0013597243493109015
439,bwd_pkt_len_std_std_443,0.0013313823511357907
2225,totlen_bwd_pkts_sum_80,0.0013251029902186806
492,bwd_pkts_s_median_5228,0.0013146249085023536
748,flow_iat_max_min_80,0.0012992655485489525
2200,totlen_bwd_pkts_max_5228,0.001287903979559963
140,bwd_header_len_max_443,0.001257844361493463
637,flow_byts_s_mean_443,0.0012131942054932855
1894,pkt_size_avg_max_5228,0.001201169591235619
700,flow_duration_min_443,0.0011967785569737955
2039,subflow_fwd_byts_skew_443,0.0011687678400633809
132,bwd_byts_b_avg_var_5228,0.001156680531227999
1600,idle_min_max_443,0.0011519435081656182
129,bwd_byts_b_avg_sum_5228,0.00114858697102815
1397,fwd_pkts_b_avg_sum_443,0.001126102438424472
399,bwd_pkt_len_min_mean_443,0.001113988489311001
1358,fwd_pkt_len_std_max_443,0.0011068719956906746
1824,pkt_len_min_var_443,0.001095675096986509
2256,totlen_fwd_pkts_skew_443,0.0010863261760754258
