index,bwd_byts_b_avg_median_443,bwd_byts_b_avg_max_5228,flow_iat_min_max_443,fwd_iat_mean_median_443,flow_byts_s_median_443,bwd_header_len_mean_80,subflow_bwd_pkts_mean_80,tot_bwd_pkts_mean_80,flow_iat_std_median_443,bwd_byts_b_avg_max_443,fwd_pkts_s_median_443,bwd_pkt_len_std_median_443,bwd_blk_rate_avg_mean_443,bwd_pkt_len_mean_max_443,fwd_iat_std_median_443,flow_pkts_s_median_443,bwd_byts_b_avg_sum_80,bwd_seg_size_avg_max_443,bwd_iat_std_median_443,bwd_blk_rate_avg_median_443,hash,malicious,family
0,4205.0,6745.0,1863.0,11451.0,77051.79959196437,100.0,5.0,5.0,14468.276936110948,6910811.0,88.15868563414146,482.308467623588,2778537.6865172856,1491.958500669344,18486.72156576173,200.3606491685033,0.0,1491.958500669344,18045.51063261263,189791.22143679103,0012254AC697A45DA3DCB48F84744A2CD92287C8BD1185D775950ACDE850CBCA,1.0,gappusin
1,4600.0,6745.0,2016.0,16685.9880175539,32874.73942068705,100.0,5.0,5.0,38242.42816259434,26477659.0,55.160159759707,493.44180977764336,3206255.048567231,1493.674632302966,45592.21115986499,107.59197264252332,0.0,1493.674632302966,32892.343143552105,1439960.890016384,0017712A7274165A904B82A05FEA64E3D443C7BC6D95BDC0B1317224E60CE41F,1.0,gappusin
2,994.0,6747.0,2096.0,7990.428571428572,96371.20761451517,80.0,4.0,4.0,12877.982427191837,6911042.0,119.8111775841274,483.1046894844379,2995512.610825216,1491.4361480865225,16927.191334424686,233.49937733499377,0.0,1491.4361480865225,16320.07809980068,158497.24755028702,0020A55624DA001215C1D1FB41C65D4ADDD7188F2F5FC1B1F841567502FCC6A2,1.0,gappusin
5,3330.0,6745.0,2150.0,10979.375,71333.43779379505,44.0,2.2,2.2,18332.139389641507,6910811.0,78.34534628643058,505.5524354841938,2767368.19489082,1491.8697324414716,25611.730866148035,165.25200931420417,0.0,1491.8697324414716,20599.21353133112,602084.9724626278,0039F7622432510D4C437A57955C93A9FB4AF47EE539B315E75B298B5BE3BE5C,1.0,cauly
6,0.0,6746.0,40057.0,27029.460227272728,18569.005130936133,86.52173913043478,4.326086956521739,4.326086956521739,30561.92128098943,26655997.0,36.90035265464357,432.47214939230486,3118411.6145709613,1493.6259451285375,41972.55943339272,81.23818240616592,3890.0,1493.6259451285375,40090.70428249099,0.0,003C7B932E8287E71A5BE655B11916E84900CC47B2A605CACD4ED6393C6884DA,1.0,cooee
7,4599.0,6746.0,1898.0,9252.0,69080.72319837025,80.0,4.0,4.0,13246.36031488333,26477659.5,110.81843677808182,484.1499947480428,3087492.190435415,1493.674659489438,16374.931994133594,216.49332767564104,0.0,1493.674659489438,18011.951596963638,2116109.602567267,00405B66DD11A6F6EC3A68D971A0C5C18D981FBD303C31433634C98C5876D199,1.0,gappusin
8,0.0,6826.0,29338.0,26708.0625,18168.492319890483,76.66666666666667,3.8333333333333335,3.8333333333333335,30186.194920604237,26655971.0,38.15533426839865,432.47214939230486,2461764.201359935,1493.5077089239908,42272.629633906814,86.68032460378711,0.0,1493.5077089239908,40050.34729545759,0.0,004653861BF8A3372317A7E9BE09EC42BC7B5F856501C281000223A0A71B505E,1.0,androrat
9,0.0,6826.0,29338.0,26708.0625,18168.492319890483,76.66666666666667,3.8333333333333335,3.8333333333333335,30186.194920604237,26655971.0,38.15533426839865,432.47214939230486,2461764.201359935,1493.5077089239908,42272.629633906814,86.68032460378711,0.0,1493.5077089239908,40050.34729545759,0.0,004653861BF8A3372317A7E9BE09EC42BC7B5F856501C281000223A0A71B505E,1.0,androrat
10,4606.0,6747.0,1928.0,10619.333333333334,75501.80964956444,100.0,5.0,5.0,15170.0,6911042.0,100.47158851860922,490.5120836092284,3344773.6011205143,1491.9586680053546,20568.21684017297,204.6192802516817,0.0,1491.9586680053546,19143.18910634395,2110891.740704179,00529527F4FF9DAC50F2F8836910FC07D207F481D0F04CF902225D0FE0602BD4,1.0,gappusin
11,4605.0,6746.0,2109.0,8909.09090909091,103713.18822023048,80.0,4.0,4.0,14290.055263837372,5006363.0,118.21029611679177,499.4122661391568,4074825.307112884,1491.8695652173913,20228.924775244483,264.0652780427648,0.0,1491.8695652173913,20044.327632774315,2759323.2672366747,005C6247AF5F5B36DB5CDE1267958C038BF0BC6D8F1D14BADBB65CFF7F34E762,1.0,cauly
12,4607.0,6717.0,28321.0,33488.32,11325.415761388733,93.33333333333331,4.666666666666667,4.666666666666667,44614.40027264179,26656000.5,24.26482631439531,529.4871191776057,3029203.732729756,1475.3333016175072,56729.95266821223,54.97660440057176,0.0,1475.3333016175072,51433.0,639750.6925207756,005C849B70F16A33F33E0AA1CA2D8029056E816B3869DA511E6FB8317186CDCF,1.0,admogo
13,4599.0,6746.0,2490.0,12637.08823529412,46739.42325331169,100.0,5.0,5.0,19497.788232408937,26477660.0,75.09991978414985,525.9020923078797,3509410.638888315,1493.5181449968738,26337.96770666453,151.40584087020446,0.0,1493.5181449968738,23873.14060584753,1850362.4060248171,00648C1E69CB258095309876EF6B55A171EFD7C186A795AEF55DCEBFB950F7A8,1.0,gappusin
14,4599.0,6745.0,1933.0,12223.477363480786,69241.2877195958,80.0,4.0,4.0,19001.647662146697,6911014.0,82.33661582817368,447.4524425274648,3770463.44900369,1491.958500669344,25560.14966354559,162.56915044913114,0.0,1491.958500669344,25762.72568744042,1696101.5659250396,007AD81979081FF31C9CCBD5006ECFA95B805DD4C8525FC9CC21A3AABA08261B,1.0,revmob
16,3856.25,6746.0,2334.0,13625.75,42734.72423038234,136.0,6.8,6.8,21127.467607986877,26477660.0,72.44024535272659,471.2396193814256,2434450.216162192,1493.6746866759102,28932.912443019784,153.6931091694371,15372.0,1493.6746866759102,27272.64320115417,965422.840172792,00AB8A108DC3259AF4E4B4C5F23D7E24B476B098C00FAB86EB59439846C6A08E,1.0,dowgin
17,4599.0,6745.0,2717.0,15254.522727272728,33439.289944284785,80.0,4.0,4.0,23282.3368821634,26477659.5,60.03215301337212,486.96128036384766,3351971.007781036,1492.820744931636,30761.808162363835,126.9348952490086,0.0,1492.820744931636,31488.548411866468,2309498.0374051607,00AD0F63F6C43E93C2A4C6B2F9EB8B6979CBF6ABC16EBB723FAFCDF2C8C3E70D,1.0,gappusin
22,1605.0,6746.0,1960.0,9612.809523809525,76421.13640011102,80.0,4.0,4.0,13487.154812790202,6911041.0,90.78962311365008,492.7185897664883,3090298.924163785,1491.958500669344,19779.127458596107,190.9866142301098,0.0,1491.958500669344,14972.00318328012,135311.2713544697,00F0B7368C26F49D28F37750915CBB63249B7A30095FC8F1DC28218B081BD5F2,1.0,gappusin
23,4605.0,6745.0,1953.0,18737.166666666668,44978.55511613658,100.0,5.0,5.0,25536.268633673528,6911042.0,55.70099704784715,483.6381523411899,3312600.6132448944,1491.958500669344,34257.65463276055,105.38518284329224,0.0,1491.958500669344,32568.298971627693,2710571.989133716,00F75088AA936656B9A764B3740ED9DFD5FB3B5DDD0145917453C6798AC2AD20,1.0,gappusin
