Index,Malicious,Pred
5811,0.0,0.0
304,0.0,0.0
2824,0.0,1.0
2724,1.0,1.0
4193,1.0,1.0
4422,0.0,1.0
3858,0.0,0.0
2819,1.0,1.0
5157,1.0,1.0
2754,0.0,0.0
5529,1.0,1.0
3651,0.0,1.0
2364,1.0,1.0
3927,1.0,1.0
3788,1.0,1.0
4048,0.0,1.0
214,0.0,1.0
5809,0.0,0.0
1744,0.0,0.0
5596,1.0,1.0
1155,0.0,0.0
202,1.0,0.0
1197,1.0,1.0
5094,1.0,1.0
5075,0.0,0.0
572,1.0,1.0
3842,1.0,1.0
1865,1.0,1.0
1696,0.0,0.0
3475,0.0,0.0
4753,1.0,1.0
3631,1.0,0.0
4270,0.0,0.0
4255,1.0,1.0
1299,0.0,0.0
1302,1.0,1.0
4919,1.0,1.0
683,1.0,1.0
776,0.0,1.0
5567,0.0,0.0
4465,0.0,0.0
4097,0.0,0.0
4549,0.0,0.0
429,0.0,0.0
2478,0.0,0.0
4621,1.0,1.0
1095,0.0,0.0
5565,1.0,1.0
3410,0.0,0.0
472,0.0,0.0
608,0.0,0.0
3098,1.0,1.0
2060,0.0,0.0
3917,0.0,0.0
4769,0.0,0.0
1746,1.0,0.0
130,0.0,1.0
4529,0.0,0.0
4610,1.0,1.0
2612,0.0,0.0
873,0.0,0.0
5602,0.0,0.0
144,1.0,0.0
2242,0.0,1.0
5001,0.0,0.0
2620,0.0,0.0
4924,1.0,1.0
4697,0.0,1.0
4943,1.0,1.0
5316,0.0,0.0
979,0.0,0.0
2164,0.0,0.0
1377,0.0,0.0
2948,0.0,0.0
3464,0.0,1.0
3814,0.0,0.0
5776,1.0,0.0
3662,1.0,1.0
2916,1.0,1.0
4596,1.0,1.0
206,1.0,0.0
3013,0.0,0.0
2396,1.0,1.0
1259,1.0,1.0
2033,0.0,0.0
4258,0.0,0.0
1343,1.0,1.0
1421,0.0,0.0
3891,0.0,0.0
2272,0.0,0.0
489,1.0,1.0
5310,1.0,1.0
2030,0.0,0.0
3325,0.0,0.0
3647,0.0,0.0
4119,1.0,1.0
559,0.0,0.0
5558,0.0,0.0
3722,1.0,1.0
2740,1.0,1.0
1216,1.0,1.0
4528,1.0,1.0
5165,0.0,0.0
3573,1.0,1.0
4392,0.0,0.0
