index,bwd_byts_b_avg_max_443,bwd_byts_b_avg_median_443,bwd_byts_b_avg_max_5228,init_fwd_win_byts_sum_853,pkt_size_avg_median_443,fwd_blk_rate_avg_sum_443,subflow_bwd_byts_max_443,pkt_len_mean_median_443,bwd_pkt_len_max_sum_443,init_fwd_win_byts_sum_443,totlen_bwd_pkts_max_443,fwd_pkt_len_min_sum_443,pkt_len_max_sum_443,flow_byts_s_sum_80,bwd_pkt_len_mean_max_443,bwd_pkt_len_std_sum_443,flow_iat_std_median_443,pkt_size_avg_max_5228,flow_duration_sum_123,pkt_len_mean_max_5228,hash,malicious
1094,6910956.0,4611.0,6745.0,131070.0,433.32452431289636,61661419.44523058,8921380.0,433.32452431289636,77037.0,3996165.0,8921380.0,4094.0,86119.0,29388.171115815952,1491.8695652173913,26960.910344883112,18356.83270046975,360.45833333333326,12969.0,360.45833333333326,2C714F41E70F6E50C1130674717059366172E6DDCA885D0B66D28A7B50007ED1,1.0
1095,26656000.0,0.0,6747.0,356875.0,207.42105263157902,51334095.87890792,55313420.0,207.42105263157902,363906.0,17102076.0,55313420.0,15054.0,374828.0,22764.84508143392,1492.5772416956745,116784.39191034627,29975.317817330986,373.7391304347826,77993.0,373.7391304347826,2C816323189AA885CE20CC2D5807FDA56EF2D23B6981CE79D7FCBE200AB62C6E,0.0
1096,26656000.0,0.0,6745.0,327675.0,272.8181818181818,271605733.3870496,79854598.0,272.8181818181818,245229.0,11729048.0,79854598.0,10597.0,252716.0,11762.8441707831,1493.5872330083982,79705.99448016084,32819.24107459098,373.7826086956522,74606.0,373.7826086956522,2C999394BA99F315E913F3C2A44E7C940B92746B6921D6F539A978B496E83048,0.0
1097,5006450.0,4111.0,6745.0,196605.0,436.0,65695918.42137267,8775385.0,436.0,79782.0,4258968.0,8775385.0,4470.0,89614.0,134046.20422224954,1491.6513683494816,27415.78339753004,16360.5,360.45833333333326,14211.0,360.45833333333326,2C9CEF65D9D9C99BD647411C05FE0BA6614791903517BFA5C97C1E6B8F09F634,1.0
1098,26477660.5,3492.5,6746.0,131070.0,375.38434782608704,52122091.73279183,54943511.0,375.38434782608704,113150.0,6353955.0,54943511.0,6678.0,129761.0,126044.82676470384,1492.8496383707654,38938.069932720486,31484.346149028534,404.28571428571433,27661.0,404.28571428571433,2C9EF8B24E36F35E302C5A46B8780097FE95CBC2EBB8FA51D51C55D5A814507A,1.0
1099,26655997.5,0.0,6718.0,1565705.0,356.0947580645162,1263904163.3970392,109569389.0,356.0947580645162,904550.0,44320920.0,109569389.0,44004.0,964908.0,334372.78923656646,1493.5870979936813,306176.19808057905,36140.46983579878,420.35,466918.0,420.35,2CCA71C6B7B75D463CFCCEEC64405EA92AC81E6FBCF2EA27A8143B0D81E990B4,0.0
1100,17770667.0,4619.0,6716.0,327675.0,341.6923076923077,74759873.95317328,55329567.0,341.6923076923077,297747.0,14349713.0,55329567.0,12786.0,307020.0,103383.94830374669,1491.196459495863,116119.81080305012,40456.63450924212,372.4782608695652,143629.0,372.4782608695652,2CD0CBBBA8FC8407E04D47C52925957E173D068B0972C32239A54BDF691E92B5,0.0
1101,7011528.0,4192.0,6746.0,131070.0,383.6521739130435,35103794.19829463,8921380.0,383.6521739130435,90122.0,4913374.0,8921380.0,5010.0,100643.0,144077.0299769901,1492.293128205128,31272.63090845057,60395.82542278112,373.9565217391304,13017.0,373.9565217391304,2CD4005FCF83F4B426F6EC6937AC34FC59873FF41FBBD48A0CB7FAE01C53943D,1.0
1102,26656000.5,4619.0,6716.0,327675.0,341.6923076923077,257399934.792028,68499902.0,341.6923076923077,383527.0,17524447.0,68499902.0,15548.0,390352.0,17577.822594293117,1493.5872600113412,149335.68325252872,27600.761194398903,372.5217391304348,155026.0,372.5217391304348,2D148AE673E13D400984FCF75A42F6A9C10DF8815705373F3823CC838036B735,1.0
1103,6911043.0,4605.0,6746.0,131070.0,458.4375,67043485.47613929,8915944.0,458.4375,74978.0,3734025.0,8915944.0,4038.0,85483.0,125720.26918066829,1491.958500669344,26403.107247968954,27792.34614422858,388.3636363636364,12953.0,388.3636363636364,2D217E466E94E16947887200F7F739F776776A69A576FB29D9157DF8C99F8BC0,1.0
1104,26477663.0,1630.0,6745.0,131070.0,380.20833333333326,38043465.7248482,54941842.0,380.20833333333326,139101.0,7402392.0,54941842.0,7382.0,152646.0,105651.75094628867,1493.6748497947422,48710.524589898836,39072.99475232133,360.66666666666674,13719.0,360.66666666666674,2D28182BB606B0CF69349E198722E9C13399D240C1A31E02F61A70E88E3FB128,1.0
1105,5006334.0,4604.0,6745.0,131070.0,413.71428571428567,46460758.41336742,8915945.0,413.71428571428567,71789.0,3669836.0,8915945.0,3824.0,81643.0,155850.75187817164,1491.9586680053546,24377.263868926206,41218.185107360594,374.0,13336.0,374.0,2D2E15AF33AC65F59F057DDFAD457274CF0B8D6E04B859079DA26D5D9401D29E,1.0
1106,5006450.0,4605.5,6745.0,196605.0,439.02742946708463,37066741.12958174,8921380.0,439.02742946708463,71483.0,3604425.0,8921380.0,3770.0,80908.0,201383.4978685898,1491.958500669344,24586.187187715248,22674.491961708507,373.9565217391304,26630.0,373.9565217391304,2D373B26C6A87E9D2BAD7C7938DF1C86E8DC26218AF51F3A8C79E020471AEB46,1.0
1107,17770666.666666668,0.0,6747.0,356875.0,299.9117647058824,328452534.6994588,55330808.0,299.9117647058824,200481.0,10350469.0,55330808.0,9799.0,213421.0,225575.96431437804,1480.185334795752,65213.83320788544,33931.23223121134,342.4074074074074,77362.0,342.4074074074074,2D3E2E720548EBDA9073713E4DED74CE30C7429FE562E9913F48FDDCF8D0100B,0.0
1108,5006024.0,4619.0,6717.0,291340.0,341.6923076923077,366461920.0800397,7288211.0,341.6923076923077,268138.0,12123975.0,7288211.0,10970.0,277089.0,15201.327815336908,1489.586387434555,107724.05555823789,27568.350011591192,372.5217391304348,405508.0,372.5217391304348,2D4D1C2825ED9704B9C314F149693F6662F12B3DD94F5740C83498C1A142A868,1.0
1109,26656000.5,4619.0,6717.0,815620.0,341.73076923076917,794167426.4372396,101321490.0,341.73076923076917,519868.0,25221972.0,101321490.0,23945.0,548116.0,172758.02875253026,1492.383202028923,192117.438634664,36692.48324328428,372.5217391304348,244192.0,372.5217391304348,2D5350B5A190913ED7765BF27083E31702C5391E4497973649924FF2E870986B,0.0
1110,26655996.5,0.0,6747.0,327675.0,207.42105263157902,313434243.4924027,55312711.0,207.42105263157902,404869.0,18805605.0,55312711.0,16298.0,414343.0,14495.908512611122,1493.081871187173,127030.31747008445,34172.35697470588,373.86956521739125,143345.0,373.86956521739125,2D62F46E7100D3A6C5A46CF22D3D5F516ACA88D2DEF55F4947C5E37892CBD555,1.0
1111,26656001.0,0.0,6718.0,327675.0,207.42105263157902,415175189.72181857,106309461.0,207.42105263157902,444455.0,20638825.0,106309461.0,19549.0,457469.0,33687.993707652386,1492.362613257034,133980.35485263314,30031.08968229713,372.60869565217394,137388.0,372.60869565217394,2D6494116C8FC46CC311C1FC24FAF8296660D8F0A839CF0ACA1A03958F3F8073,0.0
1112,26656000.0,0.0,6748.0,327675.0,352.22222222222223,170541463.58916035,109903254.0,352.22222222222223,194663.0,9268168.0,109903254.0,8993.0,205702.0,53510.11974501495,1493.6261071505726,65231.64585494847,30887.958496576844,374.1304347826088,157499.0,374.1304347826088,2D65466D4B8458249447EAF790D1C3DC5A9C8FF56FC0170D97AD10EC106BB2F4,0.0
1113,26477664.0,4605.0,6747.0,131070.0,394.4347826086956,54542008.48139537,54941844.0,394.4347826086956,112055.0,5764678.0,54941844.0,5552.0,121402.0,87124.27642186396,1493.6749041676862,38569.05075495386,25559.026178544267,374.0,9606.0,374.0,2D718801958B1DAE822582B847223FD159BDBB7A36249B965FE7359140F4A8A5,1.0
1114,26656000.0,0.0,6826.0,356875.0,300.2352941176472,269386715.101254,112431997.0,300.2352941176472,253578.0,12186418.0,112431997.0,11952.0,263960.0,13647.221607053198,1493.3928937847613,81122.86826497539,30820.283633910494,389.04,285118.0,389.04,2D7D971DE021E970129D3A859A39E8E3A7D997A73AEF734B0F0837743920C698,0.0
1115,26656000.0,0.0,6747.0,356875.0,294.349358974359,203873809.485844,105659045.0,294.349358974359,241171.0,11269742.0,105659045.0,11054.0,252542.0,138029.86295563242,1492.9266936572199,76145.72995067044,30842.513254267982,373.86956521739125,140230.0,373.86956521739125,2D80CDFBC85150639443CC3EE0824CAB0EFE299DF25BE5FA9B7AEDB249AF606F,0.0
1116,5006450.0,4606.0,6745.0,196605.0,388.5238095238095,22793766.261009835,8921379.0,388.5238095238095,73877.0,3800295.0,8921379.0,3932.0,84264.0,62474.111443503214,1491.869397993311,25546.40514261461,46887.68134512985,373.7826086956522,13916.0,373.7826086956522,2D819D377A2D96344D41BA1D14AAB78BFCFC416B7C67995F44F84BA6CA0ECB23,1.0
1117,26656001.0,0.0,6718.0,619015.0,295.5833333333333,612740553.0392343,106040560.0,295.5833333333333,452200.0,21949446.0,106040560.0,20651.0,475537.0,43041.750766589415,1489.7205462698732,145785.7663084318,35967.45250424419,420.35,267912.0,420.35,2D81FE58FE1B49569C097F46AA28F67985463424C2F69CAAA5A035377F2664BC,0.0
1118,5006450.0,4603.5,6746.0,131070.0,415.43937575030014,43953994.98223282,8917150.0,415.43937575030014,73670.0,3800295.0,8917150.0,4092.0,84611.0,73730.55814038162,1491.9586680053546,24861.198529518682,23118.060858177378,373.82608695652175,13117.0,373.82608695652175,2DA1E63CE13E4B813E42808245C1F25215B6214A281223DF0310D901A6A275D3,1.0
1119,6911043.0,4418.0,6747.0,196605.0,463.1685714285714,64452164.65588117,8915813.0,463.1685714285714,73681.0,3800295.0,8915813.0,4092.0,85226.0,142351.79568490238,1491.6869667057053,25272.10985053752,23206.680762990225,422.0,27634.0,422.0,2DB9C1856C82DBBFE19967A3342D211C6E1BB05C517E95AFB49A9AE110E8DB43,0.0
1120,7018924.0,0.0,6748.0,356875.0,289.3983990147783,81600836.67023799,55328702.0,289.3983990147783,185042.0,9368894.0,55328702.0,8842.0,197581.0,270955.8775296102,1490.708832258725,60247.57980250401,36750.594046869504,349.56,70822.0,349.56,2DBAB7EBCB65786EF21E8431BA4BD8421C25F629E1243B369D8B79B3CB38115B,0.0
1121,17770665.0,0.0,6717.0,327675.0,284.2215909090909,317847386.615252,55331127.0,284.2215909090909,226886.0,11334615.0,55331127.0,10142.0,235805.0,12326.945796905598,1479.9563217161044,74279.12409600205,44851.36658914705,372.5652173913044,78866.0,372.5652173913044,2DC3D999B570253FED31A35A1616D2A631C08B82C62633CD5FB9638097C06A97,1.0
